_XX_OO___,X,1,0
X__XOO___,X,2,1
_X_XOO___,X,2,0
XX_XOO___,O,2,-1
__XXOO___,X,2,0
X_XXOO___,O,2,-1
_XXXOO___,O,2,-1
OXXXOO___,X,2,6
XOXXOO___,X,1,6
XXOXOO___,X,1,6
______X__,O,2,-1
O_____X__,X,2,1
OX____X__,O,2,-1
_O____X__,X,2,0
XO____X__,O,2,-1
O_X___X__,O,2,-1
_OX___X__,O,2,-1
OOX___X__,X,2,3
__O___X__,X,2,0
X_O___X__,O,2,-1
_XO___X__,O,2,-1
OXO___X__,X,2,3
XOO___X__,X,1,3
O__X__X__,O,2,-1
_O_X__X__,O,2,-1
OO_X__X__,X,2,2
OOXX__X__,O,2,-1
__OX__X__,O,2,-1
O_OX__X__,X,2,1
OXOX__X__,O,2,-1
_OOX__X__,X,1,0
___O__X__,X,2,0
X__O__X__,O,2,-1
_X_O__X__,O,2,-1
OX_O__X__,X,2,2
XO_O__X__,X,2,2
__XO__X__,O,2,-1
O_XO__X__,X,2,1
OXXO__X__,O,2,-1
_OXO__X__,X,2,0
XOXO__X__,O,2,-1
X_OO__X__,X,2,1
_XOO__X__,X,2,0
XXOO__X__,O,2,-1
O___X_X__,O,2,-1
_O__X_X__,O,2,-1
OO__X_X__,X,1,2
__O_X_X__,O,2,-1
O_O_X_X__,X,2,1
OXO_X_X__,O,2,-1
_OO_X_X__,X,2,0
XOO_X_X__,O,2,-1
OO_XX_X__,O,2,-1
O_OXX_X__,O,2,-1
_OOXX_X__,O,2,-1
___OX_X__,O,2,-1
O__OX_X__,X,2,1
OX_OX_X__,O,2,-1
_O_OX_X__,X,2,0
XO_OX_X__,O,2,-1
__OOX_X__,X,2,0
X_OOX_X__,O,2,-1
_XOOX_X__,O,2,-1
OXOOX_X__,X,2,5
XOOOX_X__,X,2,5
____O_X__,X,2,0
X___O_X__,O,2,-1
_X__O_X__,O,2,-1
OX__O_X__,X,2,2
XO__O_X__,X,2,2
__X_O_X__,O,2,-1
O_X_O_X__,X,2,1
OXX_O_X__,O,2,-1
_OX_O_X__,X,2,0
XOX_O_X__,O,2,-1
X_O_O_X__,X,2,1
_XO_O_X__,X,2,0
XXO_O_X__,O,2,-1
___XO_X__,O,2,-1
O__XO_X__,X,2,1
OX_XO_X__,O,2,-1
_O_XO_X__,X,1,0
O_XXO_X__,O,2,-1
_OXXO_X__,O,2,-1
OOXXO_X__,X,2,5
__OXO_X__,X,1,0
_XOXO_X__,O,2,-1
